Image name,Direction
Lidar_2_16_2018 5_00_18 PM_66.jpg,1
Lidar_2_16_2018 5_00_18 PM_123.jpg,1
Lidar_2_16_2018 5_00_18 PM_184.jpg,1
Lidar_2_16_2018 5_00_18 PM_235.jpg,1
Lidar_2_16_2018 5_00_18 PM_284.jpg,1
Lidar_2_16_2018 5_00_18 PM_332.jpg,1
Lidar_2_16_2018 5_00_18 PM_380.jpg,1
Lidar_2_16_2018 5_00_18 PM_428.jpg,1
Lidar_2_16_2018 5_00_18 PM_476.jpg,1
Lidar_2_16_2018 5_00_18 PM_525.jpg,1
Lidar_2_16_2018 5_00_18 PM_574.jpg,1
Lidar_2_16_2018 5_00_18 PM_623.jpg,1
Lidar_2_16_2018 5_00_18 PM_675.jpg,1
Lidar_2_16_2018 5_00_18 PM_722.jpg,1
Lidar_2_16_2018 5_00_18 PM_769.jpg,1
Lidar_2_16_2018 5_00_18 PM_816.jpg,1
Lidar_2_16_2018 5_00_18 PM_865.jpg,1
Lidar_2_16_2018 5_00_18 PM_911.jpg,1
Lidar_2_16_2018 5_00_18 PM_965.jpg,1
Lidar_2_16_2018 5_00_19 PM_12.jpg,1
Lidar_2_16_2018 5_00_19 PM_58.jpg,1
Lidar_2_16_2018 5_00_19 PM_104.jpg,1
Lidar_2_16_2018 5_00_19 PM_150.jpg,1
Lidar_2_16_2018 5_00_19 PM_197.jpg,1
Lidar_2_16_2018 5_00_19 PM_243.jpg,1
Lidar_2_16_2018 5_00_19 PM_290.jpg,1
Lidar_2_16_2018 5_00_19 PM_338.jpg,1
Lidar_2_16_2018 5_00_19 PM_387.jpg,1
Lidar_2_16_2018 5_00_19 PM_436.jpg,1
Lidar_2_16_2018 5_00_19 PM_483.jpg,1
Lidar_2_16_2018 5_00_19 PM_531.jpg,1
Lidar_2_16_2018 5_00_19 PM_576.jpg,1
Lidar_2_16_2018 5_00_19 PM_623.jpg,1
Lidar_2_16_2018 5_00_19 PM_669.jpg,1
Lidar_2_16_2018 5_00_19 PM_716.jpg,1
Lidar_2_16_2018 5_00_19 PM_762.jpg,1
Lidar_2_16_2018 5_00_19 PM_810.jpg,1
Lidar_2_16_2018 5_00_19 PM_856.jpg,1
Lidar_2_16_2018 5_00_19 PM_906.jpg,1
Lidar_2_16_2018 5_00_19 PM_954.jpg,1
Lidar_2_16_2018 5_00_20 PM_2.jpg,1
Lidar_2_16_2018 5_00_20 PM_48.jpg,1
Lidar_2_16_2018 5_00_20 PM_103.jpg,1
Lidar_2_16_2018 5_00_20 PM_157.jpg,1
Lidar_2_16_2018 5_00_20 PM_214.jpg,1
Lidar_2_16_2018 5_00_20 PM_263.jpg,1
Lidar_2_16_2018 5_00_20 PM_310.jpg,1
Lidar_2_16_2018 5_00_20 PM_357.jpg,1
Lidar_2_16_2018 5_00_20 PM_406.jpg,1
Lidar_2_16_2018 5_00_20 PM_454.jpg,1
Lidar_2_16_2018 5_00_20 PM_499.jpg,1
Lidar_2_16_2018 5_00_20 PM_547.jpg,1
Lidar_2_16_2018 5_00_20 PM_594.jpg,1
Lidar_2_16_2018 5_00_20 PM_641.jpg,1
Lidar_2_16_2018 5_00_20 PM_695.jpg,1
Lidar_2_16_2018 5_00_20 PM_741.jpg,1
Lidar_2_16_2018 5_00_20 PM_787.jpg,1
Lidar_2_16_2018 5_00_20 PM_834.jpg,1
Lidar_2_16_2018 5_00_20 PM_885.jpg,1
Lidar_2_16_2018 5_00_20 PM_931.jpg,1
Lidar_2_16_2018 5_00_20 PM_977.jpg,1
Lidar_2_16_2018 5_00_21 PM_23.jpg,1
Lidar_2_16_2018 5_00_21 PM_69.jpg,1
Lidar_2_16_2018 5_00_21 PM_141.jpg,1
Lidar_2_16_2018 5_00_21 PM_191.jpg,1
Lidar_2_16_2018 5_00_21 PM_247.jpg,1
